id,code,city_id/id,name
state_city.res_state_kecamatan71,res_state_kecamatan71,state_city.res_state_city5,Trumon Timur
state_city.res_state_kecamatan72,res_state_kecamatan72,state_city.res_state_city6,Danau Paris
state_city.res_state_kecamatan73,res_state_kecamatan73,state_city.res_state_city6,Gunung Meriah (Mariah)
state_city.res_state_kecamatan74,res_state_kecamatan74,state_city.res_state_city6,Kota Baharu
state_city.res_state_kecamatan75,res_state_kecamatan75,state_city.res_state_city6,Kuala Baru
state_city.res_state_kecamatan76,res_state_kecamatan76,state_city.res_state_city6,Pulau Banyak
state_city.res_state_kecamatan77,res_state_kecamatan77,state_city.res_state_city6,Pulau Banyak Barat
state_city.res_state_kecamatan78,res_state_kecamatan78,state_city.res_state_city6,Simpang Kanan
state_city.res_state_kecamatan79,res_state_kecamatan79,state_city.res_state_city6,Singkil
state_city.res_state_kecamatan80,res_state_kecamatan80,state_city.res_state_city6,Singkil Utara
state_city.res_state_kecamatan81,res_state_kecamatan81,state_city.res_state_city6,Singkohor
state_city.res_state_kecamatan82,res_state_kecamatan82,state_city.res_state_city6,Suro Makmur
state_city.res_state_kecamatan83,res_state_kecamatan83,state_city.res_state_city7,Banda Mulia
state_city.res_state_kecamatan84,res_state_kecamatan84,state_city.res_state_city7,Bandar Pusaka
state_city.res_state_kecamatan85,res_state_kecamatan85,state_city.res_state_city7,Bendahara
state_city.res_state_kecamatan86,res_state_kecamatan86,state_city.res_state_city7,Karang Baru
state_city.res_state_kecamatan87,res_state_kecamatan87,state_city.res_state_city7,Kejuruan Muda
state_city.res_state_kecamatan88,res_state_kecamatan88,state_city.res_state_city7,Kota Kuala Simpang
state_city.res_state_kecamatan89,res_state_kecamatan89,state_city.res_state_city7,Manyak Payed
state_city.res_state_kecamatan90,res_state_kecamatan90,state_city.res_state_city7,Rantau
state_city.res_state_kecamatan91,res_state_kecamatan91,state_city.res_state_city7,Sekerak
state_city.res_state_kecamatan92,res_state_kecamatan92,state_city.res_state_city7,Seruway
